,Consumo_de_cerveja_litros
0,25.461
1,28.972
2,30.814
3,29.799
4,28.9
6,29.732
8,24.886
9,37.937
10,36.254
11,25.743
12,26.99
13,31.825
14,25.724
15,29.938
16,37.69
17,30.524
18,29.265
19,35.127
20,29.13
22,21.784
24,31.088
26,29.972
27,22.603
28,22.696
29,26.845
30,27.03
31,32.057
32,24.097
33,31.655
34,24.738
35,19.95
39,24.062
41,26.805
42,26.389
43,24.219
44,30.231
49,22.922
50,24.567
51,30.943
52,30.825
53,25.692
54,26.959
55,25.366
57,26.241
58,26.467
59,27.475
60,28.749
61,24.146
62,22.988
63,30.3
64,22.654
70,22.409
71,21.281
73,32.872
76,20.167
77,23.628
78,24.213
80,25.855
82,21.617
83,22.401
84,27.989
85,24.974
86,29.76
87,26.116
89,24.925
90,21.979
91,22.116
92,24.867
93,33.45
94,32.713
95,22.356
96,21.004
97,23.362
98,20.298
99,24.862
100,30.505
101,25.07
102,22.62
103,22.001
104,23.469
107,33.822
108,28.028
110,31.108
111,19.113
113,24.388
114,27.42
115,30.479
116,21.838
117,20.812
118,19.761
119,20.452
120,17.939
121,25.272
122,28.049
123,25.317
125,20.68
126,19.143
127,18.146
128,25.489
129,23.537
131,19.052
132,17.287
133,20.3
134,20.538
135,23.702
136,28.411
137,21.073
138,24.215
139,19.525
140,20.786
141,20.429
142,27.25
143,31.387
144,26.075
145,22.162
146,24.258
147,24.683
148,21.245
149,25.937
150,26.081
151,16.228
152,20.106
153,21.055
154,22.772
155,25.142
156,31.129
157,30.498
158,26.15
159,21.327
160,22.008
161,24.615
162,22.375
163,29.607
164,32.983
165,19.119
167,23.898
168,24.534
169,16.748
170,23.055
171,28.857
172,23.022
173,27.146
174,17.241
175,19.463
176,21.86
177,24.227
178,27.594
179,24.863
180,20.161
181,20.824
182,19.727
186,18.448
187,21.237
188,19.849
189,20.74
190,25.698
191,26.691
192,33.298
193,25.64
194,23.937
195,28.742
196,21.748
197,22.032
198,24.827
199,32.473
200,20.62
201,21.825
202,14.343
203,19.029
204,21.104
206,25.233
207,18.975
208,19.64
209,22.522
210,24.227
211,24.726
212,32.467
213,31.663
214,25.867
215,27.724
216,22.039
217,26.127
218,26.58
219,31.31
220,33.517
221,23.181
222,24.183
223,24.594
224,22.61
225,25.479
226,29.621
227,26.272
228,22.541
229,23.07
230,26.021
231,17.655
232,23.243
233,30.177
234,27.518
235,23.21
236,21.092
237,23.357
238,17.888
240,31.681
241,31.833
242,28.441
243,22.389
244,20.681
245,24.222
246,19.345
247,21.827
248,23.566
249,20.227
252,21.525
255,21.252
256,20.464
257,30.775
258,25.343
259,33.93
260,26.311
261,31.836
262,34.695
263,29.829
264,26.362
265,32.589
266,30.345
267,29.411
269,32.184
271,24.114
272,28.034
273,22.664
274,27.488
276,24.862
277,24.679
278,22.304
279,30.329
280,33.182
281,23.849
282,33.33
283,34.496
284,26.249
285,26.523
286,26.793
287,35.861
288,27.387
289,32.666
290,22.199
291,24.0
292,27.871
293,31.139
296,27.657
297,26.594
299,27.582
300,24.862
301,22.634
302,31.649
303,35.781
306,22.741
307,21.479
309,20.575
310,24.33
311,28.61
312,28.456
314,29.569
315,29.267
316,28.647
318,29.386
319,24.609
320,26.964
322,22.96
323,20.332
324,30.392
325,31.933
327,21.689
328,25.119
329,25.285
330,28.979
331,34.382
334,24.529
335,30.471
336,28.405
337,29.513
338,32.451
339,32.78
341,27.713
342,27.137
343,22.933
344,30.74
345,29.579
347,28.131
348,28.617
349,21.062
350,24.337
351,27.042
352,32.536
356,26.468
357,31.572
361,26.095
363,20.467
364,22.446
